IncidentID,Case Number,DateID,CrimeTypeID,LocationID,Arrest,Domestic,Location Description Encoded
9272456,HW416990,231202,29,392466,False,False,111
10490458,HZ231192,498661,3,195575,False,False,109
10360466,HY551957,480785,11,441849,False,True,17
8523811,HV201035,59097,16,106515,False,False,109
9207764,HW353805,216483,29,370552,False,False,111
10579076,HZ327948,537729,103,40704,False,False,125
8587807,HV262222,73219,19,73304,False,False,17
9762982,HX413146,347822,16,234554,False,False,109
10471101,HZ209943,513127,22,2526,False,False,122
8783050,HV456635,116748,29,219218,False,False,111
10612980,HZ365967,548665,35,714078,False,False,125
9665904,HX316083,317801,131,505337,False,False,17
10147808,HY337145,420874,47,611219,False,False,125
9030025,HW177690,174710,29,310257,False,False,17
8663501,HV323000,90268,53,168194,False,False,99
9288819,HW433667,235387,1,398145,False,True,125
9527950,HX182149,291962,7,6012,False,False,119
10664413,HZ415036,561534,8,179748,False,False,121
9211215,HW357407,217346,21,371733,False,False,101
9473870,HX127203,278912,36,50096,False,False,121
9878912,HX529558,375718,21,17562,False,False,103
9355774,HW499216,250853,48,419572,True,False,15
8698143,HV374378,97927,1,184010,False,True,17
10414664,HZ152863,521210,92,121554,True,False,109
10031954,HY221688,392788,11,582162,False,False,56
9929839,HY118497,17319,142,9966,False,False,125
8488183,HV165390,49121,60,90136,False,True,109
10786200,HZ553649,598093,68,21332,False,False,113
10186344,HY374011,430016,16,620679,False,False,109
9923134,HY112334,382635,14,39344,False,False,17
9225845,HW372632,220980,92,376988,True,False,125
9590348,HX240673,306318,7,1252,False,False,60
9681837,HX332078,328100,82,510067,False,True,109
10423069,HZ161355,498545,1,68592,False,False,109
8784944,HV458979,117377,3,220218,False,False,112
9600733,HX250991,308725,4,487106,False,False,112
8779737,HV452214,115231,21,217902,False,False,125
9717188,HX367096,336734,35,14414,False,False,121
8881124,HV554573,139442,65,257648,False,False,96
8914464,HV587741,147108,4,270196,False,False,101
9587200,HX237247,305440,20,401839,False,False,96
9316398,HW460303,241627,16,406946,False,False,109
8585718,HV253147,72733,19,42353,True,True,109
9706021,HX356066,333936,57,125131,False,True,17
10771515,HZ536927,595192,32,752197,False,False,96
10327447,HY517987,470430,3,435626,False,False,17
9969715,HY159326,26993,11,2916,False,True,80
9304132,HW448534,238436,11,43483,True,False,113
9318582,HW462998,242281,136,12091,False,False,56
8557579,HV233588,66601,103,121674,False,False,125
10013070,HY202903,387901,35,577269,False,False,121
9637627,HX288341,317922,25,497592,False,False,138
8912407,HV585906,146370,16,41044,False,False,109
10411432,HZ148122,494910,14,487653,False,False,109
9970065,HY159851,27031,4,45411,False,False,125
8656080,HV331478,88450,27,53479,False,False,72
9256528,HW401361,227652,101,387001,False,False,110
8675015,HV350298,92512,29,173218,False,False,17
8922926,HV595344,148854,16,236583,False,False,113
9965477,HY155203,26023,1,43608,True,True,17
10298466,HY486862,461452,4,648335,False,False,125
10124983,HY313618,415217,1,209606,False,False,109
9381405,HW524445,253009,4,427432,False,False,17
10688226,HZ441209,568797,1,731231,False,True,109
8959157,HW108331,157475,3,286303,False,True,109
8510355,HV187597,55960,76,97025,True,False,121
10782191,HZ549567,598582,4,754678,True,False,110
9300913,HW445680,238336,39,229956,True,False,121
9700702,HX350382,332330,11,504238,False,False,99
10176158,HY363811,427271,149,618045,True,False,99
8830563,HV503112,127601,4,88735,True,False,125
10349303,HY540152,477077,8,15847,False,False,125
8599571,HV273584,75655,4,8730,False,False,125
10149545,HY338963,421326,8,611686,False,False,121
9681367,HX331475,328110,1,509867,False,True,109
9323658,HW467356,243308,3,409330,False,False,121
9335099,HW478926,246019,9,29452,False,False,121
9467866,HX120917,277715,10,452225,True,False,125
8463172,HV140125,44450,1,60418,False,True,121
8434813,HV112931,37928,32,64699,False,False,109
8711064,HV387520,101061,32,189840,False,False,109
8708764,HV385498,99815,1,188883,False,False,121
10707173,HZ464070,574316,8,563103,False,False,76
10234699,HY422688,443524,1,633113,False,True,109
9193200,HW337905,212775,4,364959,False,False,96
8795896,HV469093,119876,58,224672,False,False,125
9735490,HX385595,341054,68,25485,False,False,80
9879018,HX529606,375932,16,25464,False,False,113
8562547,HV237537,67444,11,123557,False,True,109
9171128,HW316005,207837,35,357392,False,False,50
10088968,HY277748,406431,4,596385,False,False,50
10281464,HY466276,518689,146,630108,True,False,23
8571972,HV246619,69140,3,127716,False,False,121
9195835,HW340972,213596,1,36197,True,True,94
10216192,HY402666,437916,76,389975,True,False,125
8608407,HV281791,77654,22,11963,True,False,60
9405298,HW548675,262539,39,100731,True,False,121
10664252,HZ414654,561591,9,725207,False,False,122
10219695,HY406493,438899,1,300462,False,False,109
10272607,HY460755,453851,10,276826,False,False,125
10418954,HZ156837,496912,10,675381,False,False,125
9873506,HX524242,374651,39,563407,True,False,121
8852020,HV525165,132197,4,215230,False,False,125
8643527,HV318763,85858,63,104467,True,False,121
8755475,HV430506,110775,4,208275,False,False,96
9488343,HX141928,282584,178,457653,True,False,17
9633641,HX284893,317126,85,39919,False,False,53
10571491,HZ319422,535234,1,650575,False,True,109
10383425,HZ120013,519202,14,540600,False,False,109
8535042,HV207576,60588,4,111386,False,False,121
10003329,HY186915,385449,3,1274,False,False,11
8614245,HV287996,79088,28,146050,False,False,109
10029833,HY219828,392239,4,250809,False,True,109
8693757,HV369552,97059,4,181775,False,False,125
9779351,HX429387,351873,11,127494,False,False,109
9740701,HX390966,342503,4,358355,False,False,125
8587228,HV261470,73072,6,134490,True,False,15
8524814,HV202378,59354,11,107105,False,False,110
8838372,HV511428,129489,43,18391,True,False,122
8941371,HV612827,153079,3,172552,False,True,109
10639381,HZ391203,554929,8,719540,False,False,125
9177453,HW322204,209298,16,359504,False,False,110
9035771,HW182510,12658,89,48670,True,False,35
10299233,HY487984,461537,1,508594,False,True,109
9553702,HX205702,297677,76,206294,True,False,125
8609136,HV282807,77902,44,143790,False,False,121
8777051,HV451002,115430,7,216960,False,False,122
8904814,HV578822,145074,33,266895,False,False,109
10773862,HZ540203,596046,4,15385,False,False,72
9808178,HX457217,358625,7,1644,False,False,119
8676769,HV352045,92607,10,10615,False,False,125
10166631,HY354819,425234,32,615737,False,False,111
10040024,HY229644,394849,6,360507,True,False,125
8707131,HV383759,100228,59,188114,False,False,17
9289299,HW434039,235546,1,298802,False,True,17
10249124,HY296801,4975,73,8403,True,False,110
10676755,HZ429433,565408,32,728105,False,False,109
9852038,HX501170,368922,16,557771,False,False,109
8745494,HV420860,108621,8,14890,False,False,72
8915631,HV588497,147401,189,1766,False,False,119
9587046,HX237023,305390,58,483132,True,False,136
9980903,HY170838,29733,76,49616,True,False,125
9146701,HW292392,202291,10,349377,False,False,125
10628260,HZ380470,552637,9,610825,False,False,110
8436804,HV114636,38429,89,65567,True,False,35
9473044,HX126103,278848,27,22870,True,False,113
9227572,HW372731,221328,19,377512,False,True,96
10710817,HZ468570,576421,27,1174,True,False,97
10519881,HZ261684,3786,22,3197,True,False,76
8884694,HV559394,140473,1,259396,False,True,17
10029125,HY218080,392112,55,529907,False,True,17
10009279,HY198777,386930,58,16624,False,False,119
8550567,HV226235,64891,4,104099,False,False,122
10688389,HZ442292,569155,11,731422,False,True,121
8634183,HV308544,83694,22,1609,True,False,76
10119513,HY308093,413790,104,584707,True,False,109
10037046,HY226174,394023,1,298594,False,True,109
8703651,HV379945,99373,39,186414,True,False,121
10310703,HY499644,465178,21,593796,False,False,125
10223857,HY410612,440123,4,630078,False,False,135
10355650,HY546756,478895,32,662133,False,False,109
9820640,HX470072,361655,26,244504,True,False,121
10345913,HY536921,476095,60,390130,True,True,109
9067566,HW212642,183160,11,9688,False,True,76
9965341,HY155037,25960,32,43520,False,False,109
10205673,HY392361,435070,5,409489,False,False,121
8499004,HV176002,52894,4,95127,False,False,121
9611057,HX260997,310983,3,155576,True,False,50
9797323,HX446402,356031,3,543219,False,False,15
8935428,HV607262,151759,1,101681,True,True,17
10195351,HY382372,432186,22,14510,False,False,122
8774410,HV448948,115005,26,216041,False,False,121
9696174,HX346598,331741,19,514341,False,False,17
9641121,HX291882,318732,21,314986,False,False,125
10571174,HZ318950,537032,21,36232,False,False,101
8828446,HV501097,126601,8,161830,False,False,125
10140147,HY329543,419117,21,150699,False,False,125
8714443,HV390984,101745,10,191194,False,False,125
8785057,HV458663,117215,10,220279,False,False,125
10575381,HZ323684,536287,16,703633,False,True,32
10539188,HZ283992,10722,1,17304,False,True,111
9930485,HY119420,17556,1,26325,False,True,17
9210273,HW356259,217069,4,181896,False,False,121
10489491,HZ230241,498565,3,676886,False,False,112
10407484,HZ143266,493596,3,361038,False,False,125
9958484,HY146526,23982,250,40344,True,False,121
8573884,HV248440,70091,138,128622,False,False,23
9174631,HW312640,206873,58,150739,False,False,121
9287371,HW431801,234903,54,66101,False,True,125
8509999,HV187053,55886,15,100137,False,False,75
9450302,HX103379,273349,21,447694,False,False,125
10420023,HZ158063,497323,3,20551,True,False,96
8881454,HV554929,139505,47,257777,False,False,121
8885002,HV559675,140538,87,259519,True,False,121
9907151,HX558054,382968,4,187476,False,False,113
8622660,HV295628,80899,1,149773,False,True,17
9891053,HX540986,378604,8,567661,False,False,101
9609090,HX259506,310925,1,408144,True,True,17
8570145,HV244929,69268,32,126996,False,False,17
8938077,HV609695,152283,3,278254,False,False,125
8625092,HV298701,81435,1,55973,True,True,109
9458511,HX111630,275252,16,32494,False,False,17
10446897,HZ185468,505928,8,681916,False,False,101
9978138,HY167691,28962,82,48366,False,False,125
10614667,HZ367672,549234,32,653107,False,False,17
9993932,HY183967,32956,71,55135,False,False,121
9276475,HW420723,232297,11,373359,False,True,17
10077865,HY266575,403870,39,593516,True,False,121
9304879,HW449340,239124,76,403383,True,False,0
8797601,HV471606,120238,27,9365,True,False,76
9071827,HW217024,184250,58,323534,True,False,15
8935058,HV606941,151705,58,16137,False,True,101
10738820,HZ498740,584668,34,113964,False,False,57
8846114,HV519204,129780,10,244193,False,False,125
8424813,HV103634,35880,84,60161,False,False,125
8981792,HW129136,162856,10,293951,False,False,125
9137610,HW282779,199924,16,346194,False,False,112
10707999,HZ464908,575268,15,736381,False,False,111
10310511,HY499392,465222,27,630879,False,False,109
